,CORRELATION_ID,IDENTIFIER_1,VERSION_NUMBER_1,VERSION_DATE_1,IDENTIFIER_2,VERSION_NUMBER_2,VERSION_DATE_2,CONFIDENCE
246298,BLPU_906700084149_TopographicArea_osgb1000040412136_5,906700084149,,20160210000000,osgb1000040412136,12,20150624000000,Version information is correct
246687,BLPU_906700090565_TopographicArea_osgb1000040412275_5,906700090565,,20160210000000,osgb1000040412275,11,20150624000000,Version information is correct
246688,BLPU_906700090569_TopographicArea_osgb1000040412275_5,906700090569,,20160210000000,osgb1000040412275,11,20150624000000,Version information is correct
246689,BLPU_906700090580_TopographicArea_osgb1000002038248922_5,906700090580,,20160210000000,osgb1000002038248922,6,20080210000000,Version information is correct
248472,BLPU_906700059906_TopographicArea_osgb1000002038487482_5,906700059906,,20160506000000,osgb1000002038487482,14,20080210000000,Version information is correct
249642,BLPU_906700048739_TopographicArea_osgb1000040410595_5,906700048739,,20160210000000,osgb1000040410595,13,20180910000000,Version information is correct
310578,BLPU_906700247339_TopographicArea_osgb1000040410595_5,906700247339,,20160506000000,osgb1000040410595,13,20180910000000,Version information is correct
315214,BLPU_906700501471_TopographicArea_osgb1000040410591_5,906700501471,,20200226000000,osgb1000040410591,4,20150201000000,Version information is correct
315215,BLPU_906700501472_TopographicArea_osgb1000040410591_5,906700501472,,20200226000000,osgb1000040410591,4,20150201000000,Version information is correct
315216,BLPU_906700501482_TopographicArea_osgb1000040410591_5,906700501482,,20200226000000,osgb1000040410591,4,20150201000000,Version information is correct
315217,BLPU_906700501505_TopographicArea_osgb1000040410591_5,906700501505,,20200226000000,osgb1000040410591,4,20150201000000,Version information is correct
315218,BLPU_906700501523_TopographicArea_osgb1000040410591_5,906700501523,,20200226000000,osgb1000040410591,4,20150201000000,Version information is correct
315219,BLPU_906700501527_TopographicArea_osgb1000040410591_5,906700501527,,20200226000000,osgb1000040410591,4,20150201000000,Version information is correct
315220,BLPU_906700501531_TopographicArea_osgb1000040410591_5,906700501531,,20200226000000,osgb1000040410591,4,20150201000000,Version information is correct
329472,BLPU_906700439453_TopographicArea_osgb1000040412156_5,906700439453,,20160210000000,osgb1000040412156,7,20080210000000,Version information is correct
329473,BLPU_906700439455_TopographicArea_osgb1000040412156_5,906700439455,,20160210000000,osgb1000040412156,7,20080210000000,Version information is correct
329474,BLPU_906700439457_TopographicArea_osgb1000040412156_5,906700439457,,20161127000000,osgb1000040412156,7,20080210000000,Version information is correct
329475,BLPU_906700439465_TopographicArea_osgb1000040412156_5,906700439465,,20160321000000,osgb1000040412156,7,20080210000000,Version information is correct
329516,BLPU_906700441543_TopographicArea_osgb1000040412174_5,906700441543,,20160210000000,osgb1000040412174,6,20080210000000,Version information is correct
329609,BLPU_906700444716_TopographicArea_osgb1000002038487482_5,906700444716,,20200505000000,osgb1000002038487482,14,20080210000000,Version information is correct
332117,BLPU_906700415480_TopographicArea_osgb1000002038487482_5,906700415480,,20200526000000,osgb1000002038487482,14,20080210000000,Version information is correct
332360,BLPU_906700419690_TopographicArea_osgb1000002038515128_5,906700419690,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
332595,BLPU_906700423983_TopographicArea_osgb1000040412151_5,906700423983,,20160210000000,osgb1000040412151,8,20090820000000,Version information is correct
336277,BLPU_906700402413_TopographicArea_osgb1000002038441601_5,906700402413,,20160210000000,osgb1000002038441601,2,20051226000000,Version information is correct
336527,BLPU_906700406154_TopographicArea_osgb1000002038515043_5,906700406154,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
336528,BLPU_906700406169_TopographicArea_osgb1000002038515043_5,906700406169,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
336529,BLPU_906700406171_TopographicArea_osgb1000002038515043_5,906700406171,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
336530,BLPU_906700406196_TopographicArea_osgb1000002038515043_5,906700406196,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
336531,BLPU_906700406222_TopographicArea_osgb1000002038515043_5,906700406222,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
336532,BLPU_906700406235_TopographicArea_osgb1000002038515128_5,906700406235,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
336533,BLPU_906700406242_TopographicArea_osgb1000002038515128_5,906700406242,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
336535,BLPU_906700406265_TopographicArea_osgb1000002038515128_5,906700406265,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
